n1_total,y_CO_1,y_H2O_1,n2_total,T1,T_reactor_in,P_R,T_flash,T4,Q1_MW,Q2_MW,T_reactor_out,X_CO,T3,P3,n3_total,y_CO_3,y_H2_3,y_MeOH_3,y_H2O_3,P4,n4_total,x_CO_4,x_H2_4,x_MeOH_4,x_H2O_4,MeOH_recovery,MeOH_purity_stream4
1118.88758,0.372298705,0.0255571588,338.728439,307.317481,539.547839,78.8350351,356.239788,293.799353,2.80002963,-0.0350727459,635.551121,0.10104214,356.239788,78.8350351,1324.34231,0.282714304,0.700922164,0.0129717929,0.00339173927,78.8350351,49.0933962,0.0012165916,0.000383887229,0.507421802,0.490977719,0.591850049,0.507421802
1228.65245,0.263069558,0.0312551346,108.796999,301.546899,475.061568,64.3546402,356.342321,316.895279,1.90100095,-0.0312291334,607.313386,0.164722863,356.342321,64.3546402,1162.64904,0.232162467,0.747706347,0.0159581249,0.00417306038,64.3546402,68.3166109,0.000815153074,0.000334183671,0.50775644,0.491094224,0.651520712,0.50775644
986.762562,0.328340377,0.023693898,108.814231,290.871731,520.085264,51.9537702,295.20792,293.20792,2.04851394,-0.00115766495,610.765764,0.0923883043,295.20792,51.9537702,984.055778,0.298762274,0.699472129,0.00153679097,0.000228805973,51.9537702,51.6545041,0.00120017607,0.000318433199,0.550212763,0.448268627,0.949477997,0.550212763
1114.0882,0.409469114,0.0351612748,333.709252,291.548989,476.165182,79.5730162,294.654374,292.654374,2.16563099,-0.00228964128,619.83132,0.136921971,294.654374,79.5730162,1222.46353,0.321910106,0.676886496,0.00107820182,0.000125196538,79.5730162,100.410508,0.0019882034,0.000473170892,0.608936736,0.38860189,0.978898074,0.608936736
1109.26876,0.432655095,0.0320021226,31.5659361,308.241312,505.283275,59.0582587,329.289176,290.905712,1.84332671,-0.0274817152,610.204401,0.0751613838,329.289176,59.0582587,1004.26366,0.441869202,0.550895644,0.00574234395,0.00149280953,59.0582587,64.4265163,0.00163500354,0.000247785348,0.470387598,0.527729613,0.840131251,0.470387598
1511.44294,0.326391012,0.0301722829,174.236243,315.522497,497.069584,64.5778169,322.053584,281.349171,2.53074263,-0.0447502964,614.252541,0.120532897,322.053584,64.5778169,1469.2908,0.295202732,0.699518934,0.00445189535,0.000826438398,64.5778169,97.4654696,0.00124430522,0.000353558316,0.542964885,0.455437251,0.8899938,0.542964885
1280.21546,0.386974462,0.034696777,373.301663,310.158131,518.022533,77.5067278,344.261524,314.442342,2.85369471,-0.028783222,628.419468,0.110900058,344.261524,77.5067278,1459.62232,0.301691681,0.687693367,0.00851707939,0.00209787313,77.5067278,84.0126562,0.00135341545,0.000385048937,0.505987516,0.49227402,0.773726318,0.505987516
1228.12004,0.289578379,0.0241849148,331.334299,300.439475,518.953912,75.3725432,301.136755,299.136755,2.79595987,-0.00178538526,625.757718,0.140830136,301.136755,75.3725432,1381.86564,0.221046654,0.777143454,0.00161935356,0.000190538291,75.3725432,77.4198744,0.00123771518,0.000499757738,0.618015461,0.380247066,0.955320845,0.618015461
1535.81003,0.394752706,0.0262971219,87.4388916,314.725545,513.351507,58.762246,307.023812,304.099592,2.6521641,-0.00282975077,613.964013,0.0811112431,307.023812,58.762246,1439.23264,0.386977712,0.610200854,0.00240369203,0.000417741804,58.762246,85.666446,0.0016259829,0.000298232556,0.533644751,0.464431033,0.929649668,0.533644751
1573.89448,0.358285415,0.0148351856,381.756917,292.276848,537.222223,63.6082332,356.786382,305.500667,3.89996742,-0.0215650383,625.495933,0.0920056391,356.786382,63.6082332,1815.92688,0.281941985,0.696406513,0.0177106151,0.0039408861,63.6082332,35.9599289,0.000976405578,0.000307215906,0.548419165,0.450297213,0.380112594,0.548419165
